Trans-ID,CG,Type,RAG,Word count
run1_20260505_123753,CG1,LLM,Yes,1317
run1_20260505_123753,CG1,LLM,No,1302
run2_20260505_131601,CG1,LLM,Yes,1269
run2_20260505_131601,CG1,LLM,No,1248
run3_20260505_134623,CG1,LLM,Yes,1240
run3_20260505_134623,CG1,LLM,No,1312
run4_20260505_140403,CG1,LLM,Yes,1281
run4_20260505_140403,CG1,LLM,No,1290
run5_20260505_141932,CG1,LLM,Yes,1294
run5_20260505_141932,CG1,LLM,No,1287
run1_20260505_123753,CG2,LLM,Yes,1200
run1_20260505_123753,CG2,LLM,No,1211
run2_20260505_131601,CG2,LLM,Yes,1206
run2_20260505_131601,CG2,LLM,No,1208
run3_20260505_134623,CG2,LLM,Yes,1199
run3_20260505_134623,CG2,LLM,No,1209
run4_20260505_140403,CG2,LLM,Yes,1196
run4_20260505_140403,CG2,LLM,No,1209
run5_20260505_141932,CG2,LLM,Yes,1193
run5_20260505_141932,CG2,LLM,No,1217
run1_20260505_123753,CG3,LLM,Yes,1441
run1_20260505_123753,CG3,LLM,No,1413
run2_20260505_131601,CG3,LLM,Yes,1435
run2_20260505_131601,CG3,LLM,No,1409
run3_20260505_134623,CG3,LLM,Yes,1436
run3_20260505_134623,CG3,LLM,No,1441
run4_20260505_140403,CG3,LLM,Yes,1421
run4_20260505_140403,CG3,LLM,No,1433
run5_20260505_141932,CG3,LLM,Yes,1417
run5_20260505_141932,CG3,LLM,No,1434
run1_20260505_123753,CG4,LLM,Yes,1622
run1_20260505_123753,CG4,LLM,No,1658
run2_20260505_131601,CG4,LLM,Yes,1631
run2_20260505_131601,CG4,LLM,No,1675
run3_20260505_134623,CG4,LLM,Yes,1613
run3_20260505_134623,CG4,LLM,No,1648
run4_20260505_140403,CG4,LLM,Yes,1617
run4_20260505_140403,CG4,LLM,No,1662
run5_20260505_141932,CG4,LLM,Yes,1620
run5_20260505_141932,CG4,LLM,No,1635
